"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 21","121,801","126,802","129,620","121,748","161.31M","-3.94%"
"Jun 21","126,802","126,218","131,190","126,184","197.83M","0.46%"
"May 21","126,216","118,951","126,216","117,631","184.24M","6.16%"
"Apr 21","118,894","116,645","121,974","114,991","167.26M","1.94%"
"Mar 21","116,634","110,036","117,249","107,319","246.48M","6.00%"
"Feb 21","110,035","115,093","121,117","109,827","190.63M","-4.37%"
"Jan 21","115,068","119,024","125,324","114,887","186.73M","-3.32%"
"Dec 20","119,017","108,897","120,150","108,897","177.04M","9.30%"
"Nov 20","108,893","93,968","111,603","93,968","217.76M","15.90%"
"Oct 20","93,952","94,604","102,218","93,387","198.14M","-0.69%"
"Sep 20","94,603","99,382","103,226","93,408","190.35M","-4.80%"
"Aug 20","99,369","102,913","104,523","98,513","202.70M","-3.44%"
"Jul 20","102,912","95,062","105,704","95,062","221.52M","8.27%"
"Jun 20","95,056","87,395","97,694","86,837","232.33M","8.76%"
"May 20","87,403","80,501","88,091","75,697","220.36M","8.57%"
"Apr 20","80,506","73,011","83,598","67,803","209.52M","10.25%"
"Mar 20","73,020","104,260","108,804","61,691","270.52M","-29.90%"
"Feb 20","104,172","113,761","117,701","99,951","126.65M","-8.43%"
"Jan 20","113,761","115,652","119,593","112,826","122.06M","-1.63%"
"Dec 19","115,645","108,233","117,803","108,191","99.88M","6.85%"
"Nov 19","108,233","107,221","109,672","105,261","95.99M","0.95%"
"Oct 19","107,220","104,745","108,408","99,826","103.19M","2.36%"
"Sep 19","104,745","101,133","106,001","99,406","97.54M","3.57%"
"Aug 19","101,135","101,819","104,848","95,855","119.85M","-0.67%"
"Jul 19","101,812","100,974","106,650","100,073","97.40M","0.84%"
"Jun 19","100,967","97,036","102,617","95,686","90.98M","4.06%"
"May 19","97,030","96,339","97,992","89,409","101.11M","0.70%"
"Apr 19","96,353","95,423","97,610","92,338","93.19M","0.98%"
"Mar 19","95,415","95,584","100,439","91,584","89.38M","-0.18%"
"Feb 19","95,584","97,396","98,589","93,424","97.94M","-1.86%"
"Jan 19","97,394","87,887","98,405","87,536","109.60M","10.82%"
"Dec 18","87,887","89,511","91,242","83,892","82.22M","-1.81%"
"Nov 18","89,504","87,428","90,246","84,030","90.78M","2.38%"
"Oct 18","87,424","79,350","88,377","78,091","124.90M","10.19%"
"Sep 18","79,342","76,676","80,107","74,275","67.45M","3.48%"
"Aug 18","76,678","79,213","81,792","74,876","83.19M","-3.21%"
"Jul 18","79,220","72,763","80,589","71,935","71.74M","8.88%"
"Jun 18","72,763","76,779","78,892","69,069","96.20M","-5.20%"
"May 18","76,754","86,111","86,678","75,337","99.40M","-10.87%"
"Apr 18","86,116","85,365","87,179","82,762","66.97M","0.88%"
"Mar 18","85,366","85,337","87,333","82,889","72.31M","0.01%"
"Feb 18","85,354","84,913","88,318","79,690","73.81M","0.52%"
"Jan 18","84,913","76,403","86,213","76,403","74.06M","11.14%"
"Dec 17","76,402","71,955","76,437","71,356","56.34M","6.16%"
"Nov 17","71,971","74,310","75,199","70,825","67.18M","-3.15%"
"Oct 17","74,309","74,295","78,024","73,845","67.89M","0.02%"
"Sep 17","74,294","70,848","76,420","70,846","71.06M","4.88%"
"Aug 17","70,835","65,925","71,506","65,925","70.28M","7.46%"
"Jul 17","65,920","62,901","66,048","62,035","55.45M","4.80%"
"Jun 17","62,900","62,712","63,637","60,544","67.37M","0.30%"
"May 17","62,712","65,404","68,792","60,315","89.45M","-4.12%"
"Apr 17","65,403","64,989","66,211","62,826","56.79M","0.64%"
"Mar 17","64,984","66,661","67,398","62,496","75.97M","-2.52%"
"Feb 17","66,662","64,687","69,488","63,740","58.53M","3.08%"
"Jan 17","64,671","60,227","66,594","59,371","61.92M","7.38%"
"Dec 16","60,227","61,906","61,936","56,829","65.99M","-2.71%"
"Nov 16","61,906","64,922","65,291","58,322","85.58M","-4.65%"
"Oct 16","64,925","58,370","65,054","58,367","76.62M","11.23%"
"Sep 16","58,367","57,902","60,311","56,459","70.19M","0.80%"
"Aug 16","57,901","57,309","59,418","55,696","83.45M","1.03%"
"Jul 16","57,308","51,540","57,474","50,825","77.32M","11.22%"
"Jun 16","51,527","48,468","51,812","48,067","81.39M","6.30%"
"May 16","48,472","53,910","54,113","48,292","81.20M","-10.09%"
"Apr 16","53,911","50,054","54,978","47,874","91.67M","7.70%"
"Mar 16","50,055","42,795","52,262","42,795","125.12M","16.97%"
"Feb 16","42,794","40,397","43,601","38,596","71.70M","5.91%"
"Jan 16","40,406","43,349","43,349","37,046","72.21M","-6.79%"
"Dec 15","43,350","45,121","47,142","43,137","66.35M","-3.92%"
"Nov 15","45,120","45,869","49,054","45,106","68.60M","-1.63%"
"Oct 15","45,869","45,064","49,752","44,789","80.10M","1.80%"
"Sep 15","45,059","46,625","49,396","43,767","81.48M","-3.36%"
"Aug 15","46,626","50,867","50,867","42,749","73.39M","-8.33%"
"Jul 15","50,865","53,081","53,456","48,624","66.97M","-4.17%"
"Jun 15","53,081","52,753","54,361","52,548","63.04M","0.61%"
"May 15","52,761","56,230","58,575","52,761","69.37M","-6.17%"
"Apr 15","56,229","51,186","56,965","51,186","81.12M","9.93%"
"Mar 15","51,150","51,580","52,319","47,905","79.89M","-0.84%"
"Feb 15","51,583","46,934","52,457","46,760","65.31M","9.97%"
"Jan 15","46,908","50,005","50,281","46,484","77.72M","-6.20%"
"Dec 14","50,007","54,720","54,720","45,853","69.82M","-8.62%"
"Nov 14","54,724","54,629","57,359","50,886","67.38M","0.17%"
"Oct 14","54,629","54,115","58,898","48,722","115.83M","0.95%"
"Sep 14","54,116","61,295","62,305","53,536","83.75M","-11.70%"
"Aug 14","61,288","55,827","61,443","55,239","72.75M","9.78%"
"Jul 14","55,829","53,171","58,138","52,735","68.06M","5.01%"
"Jun 14","53,168","51,239","55,284","51,239","53.45M","3.76%"
"May 14","51,239","51,630","54,459","51,239","73.70M","-0.75%"
"Apr 14","51,627","50,412","53,394","49,774","72.97M","2.40%"
"Mar 14","50,415","47,092","50,418","44,905","67.63M","7.05%"
"Feb 14","47,094","47,623","48,669","46,110","64.04M","-1.14%"
"Jan 14","47,639","51,522","51,656","46,814","73.71M","-7.51%"
"Dec 13","51,507","52,479","52,479","49,842","56.41M","-1.86%"
"Nov 13","52,483","54,255","54,539","51,290","65.61M","-3.27%"
"Oct 13","54,256","52,337","56,747","51,870","129.97M","3.66%"
"Sep 13","52,338","50,012","55,900","50,012","125.98M","4.65%"
"Aug 13","50,012","48,235","52,398","47,164","145.18M","3.68%"
"Jul 13","48,235","47,458","49,669","44,107","113.30M","1.64%"
"Jun 13","47,457","53,512","54,289","45,406","114.21M","-11.31%"
"May 13","53,506","55,919","57,099","52,942","108.60M","-4.30%"
"Apr 13","55,910","56,348","56,976","52,392","106.43M","-0.78%"
"Mar 13","56,352","57,422","59,473","54,648","86.58M","-1.87%"
"Feb 13","57,424","59,765","60,496","55,430","71.00M","-3.91%"
"Jan 13","59,762","60,990","63,473","59,114","77.08M","-1.95%"
"Dec 12","60,952","57,479","61,322","57,129","62.25M","6.05%"
"Nov 12","57,475","57,065","59,561","55,126","62.04M","0.71%"
"Oct 12","57,068","59,171","60,412","56,581","65.39M","-3.56%"
"Sep 12","59,176","57,065","63,428","56,203","70.75M","3.71%"
"Aug 12","57,062","56,091","60,209","55,239","76.30M","1.72%"
"Jul 12","56,097","54,355","57,466","52,213","59.28M","3.21%"
"Jun 12","54,355","54,488","57,612","52,271","62.93M","-0.25%"
"May 12","54,490","61,820","62,783","53,028","77.09M","-11.86%"
"Apr 12","61,820","64,515","65,593","60,897","54.26M","-4.17%"
"Mar 12","64,511","65,812","68,970","64,096","55.59M","-1.98%"
"Feb 12","65,812","63,085","66,662","63,085","52.92M","4.34%"
"Jan 12","63,072","56,755","63,805","56,649","55.12M","11.13%"
"Dec 11","56,754","56,876","59,576","55,298","51.41M","-0.21%"
"Nov 11","56,875","58,300","59,616","54,537","48.81M","-2.51%"
"Oct 11","58,338","52,319","59,902","49,433","53.85M","11.49%"
"Sep 11","52,324","56,498","58,589","51,897","55.53M","-7.38%"
"Aug 11","56,495","58,824","59,542","47,794","72.29M","-3.96%"
"Jul 11","58,824","62,404","63,891","58,009","41.72M","-5.74%"
"Jun 11","62,404","64,616","64,979","60,489","39.74M","-3.43%"
"May 11","64,620","66,119","66,500","61,659","48.36M","-2.29%"
"Apr 11","66,133","68,588","70,108","65,105","43.54M","-3.58%"
"Mar 11","68,587","67,381","68,606","65,463","45.97M","1.79%"
"Feb 11","67,383","66,575","68,226","64,016","48.66M","1.21%"
"Jan 11","66,575","69,310","71,924","65,898","41.88M","-3.94%"
"Dec 10","69,305","67,731","70,589","66,948","42.49M","2.36%"
"Nov 10","67,705","70,686","73,103","67,103","34.13M","-4.20%"
"Oct 10","70,673","69,438","72,140","68,847","48.43M","1.79%"
"Sep 10","69,430","65,154","69,737","65,154","43.84M","6.58%"
"Aug 10","65,146","67,524","68,754","63,804","38.36M","-3.51%"
"Jul 10","67,515","60,935","67,608","60,056","34.78M","10.80%"
"Jun 10","60,936","63,033","65,831","60,936","36.58M","-3.35%"
"May 10","63,047","67,534","67,969","57,634","52.41M","-6.64%"
"Apr 10","67,530","70,375","71,989","65,914","34.29M","-4.04%"
"Mar 10","70,372","66,511","70,486","66,511","37.82M","5.82%"
"Feb 10","66,503","65,402","68,120","61,341","28.14M","1.68%"
"Jan 10","65,402","68,587","71,068","64,542","32.87M","-4.65%"
"Dec 09","68,588","67,051","69,785","65,925","25.86M","2.30%"
"Nov 09","67,044","61,539","68,060","60,724","30.95M","8.93%"
"Oct 09","61,546","61,519","67,530","59,678","33.94M","0.04%"
"Sep 09","61,518","56,489","62,017","55,339","28.07M","8.90%"
"Aug 09","56,489","54,766","58,634","54,766","27.93M","3.15%"
"Jul 09","54,766","51,464","55,083","48,262","29.46M","6.41%"
"Jun 09","51,466","53,202","54,955","49,130","30.45M","-3.26%"
"May 09","53,198","47,290","53,806","47,290","35.24M","12.49%"
"Apr 09","47,290","40,918","48,126","40,256","34.55M","15.55%"
"Mar 09","40,926","38,180","42,680","35,722","35.34M","7.18%"
"Feb 09","38,183","39,296","43,441","37,324","30.07M","-2.84%"
"Jan 09","39,301","37,550","42,525","36,744","33.50M","4.66%"
"Dec 08","37,550","36,596","40,498","33,798","32.44M","2.61%"
"Nov 08","36,596","37,261","41,003","31,081","33.45M","-1.77%"
"Oct 08","37,257","49,538","49,834","29,435","46.44M","-24.80%"
"Sep 08","49,541","55,665","55,665","43,766","35.44M","-11.03%"
"Aug 08","55,680","59,505","59,505","52,345","22.83M","-6.43%"
"Jul 08","59,505","65,018","65,018","56,418","28.04M","-8.48%"
"Jun 08","65,018","72,593","72,593","63,689","24.53M","-10.43%"
"May 08","72,593","67,869","73,920","67,865","25.86M","6.96%"
"Apr 08","67,868","60,965","68,038","60,965","21.48M","11.32%"
"Mar 08","60,968","63,496","65,045","57,824","48.38M","-3.97%"
"Feb 08","63,489","59,491","66,005","58,030","64.97M","6.72%"
"Jan 08","59,490","63,885","63,906","53,011","75.01M","-6.88%"
"Dec 07","63,886","63,018","66,529","59,414","52.39M","1.40%"
"Nov 07","63,006","65,317","65,317","58,096","111.71M","-3.54%"
"Oct 07","65,318","60,465","65,949","59,473","142.90M","8.03%"
"Sep 07","60,465","54,641","61,054","52,321","106.33M","10.67%"
"Aug 07","54,637","54,170","55,616","44,938","1.15B","0.84%"
"Jul 07","54,183","54,396","58,293","52,627","1.06B","-0.39%"
"Jun 07","54,392","52,271","55,003","50,885","2.01B","4.06%"
"May 07","52,268","48,955","52,877","48,953","2.31B","6.77%"
"Apr 07","48,956","45,805","49,856","45,225","2.79B","6.88%"
"Mar 07","45,805","43,886","45,950","41,117","2.90B","4.36%"
"Feb 07","43,892","44,642","46,752","42,571","2.32B","-1.68%"
"Jan 07","44,642","44,476","45,388","41,266","2.66B","0.38%"
"Dec 06","44,474","41,930","44,675","41,192","1.96B","6.06%"
"Nov 06","41,932","39,279","42,308","39,279","3.41B","6.80%"
"Oct 06","39,263","36,450","39,843","36,438","2.40B","7.72%"
"Sep 06","36,449","36,232","37,739","34,127","2.39B","0.60%"
"Aug 06","36,232","37,077","38,172","35,123","2.36B","-2.28%"
"Jul 06","37,077","36,629","37,601","34,591","1.87B","1.22%"
"Jun 06","36,631","36,531","38,437","32,057","2.54B","0.28%"
"May 06","36,530","40,365","42,062","34,911","3.54B","-9.50%"
"Apr 06","40,363","37,952","40,425","37,816","2.22B","6.35%"
"Mar 06","37,952","38,610","39,395","36,085","2.79B","-1.71%"
"Feb 06","38,610","38,382","38,978","35,891","2.61B","0.59%"
"Jan 06","38,383","33,462","38,804","32,860","2.55B","14.73%"
"Dec 05","33,456","31,921","33,837","31,921","2.29B","4.82%"
"Nov 05","31,917","30,194","32,350","29,948","1.76B","5.71%"
"Oct 05","30,194","31,582","32,052","28,161","2.55B","-4.40%"
"Sep 05","31,584","28,044","31,584","27,799","2.43B","12.62%"
"Aug 05","28,045","26,042","28,072","25,734","2.59B","7.69%"
"Jul 05","26,042","25,051","26,306","24,192","2.47B","3.96%"
"Jun 05","25,051","25,209","26,755","24,224","2.56B","-0.62%"
"May 05","25,207","24,847","25,808","23,680","2.24B","1.46%"
"Apr 05","24,844","26,612","27,178","24,154","2.55B","-6.64%"
"Mar 05","26,611","28,135","29,584","25,761","2.78B","-5.43%"
"Feb 05","28,139","24,392","28,778","24,073","2.32B","15.55%"
"Jan 05","24,353","26,193","26,492","23,534","2.34B","-7.04%"
"Dec 04","26,196","25,129","26,270","24,452","6.91B","4.25%"
"Nov 04","25,128","23,050","25,160","22,941","5.29B","9.01%"
"Oct 04","23,052","23,246","24,362","22,390","4.16B","-0.83%"
"Sep 04","23,245","22,803","23,485","21,739","4.95B","1.94%"
"Aug 04","22,803","22,342","23,381","21,178","5.41B","2.09%"
"Jul 04","22,337","21,152","22,676","20,821","5.29B","5.62%"
"Jun 04","21,149","19,545","21,183","19,177","5.34B","8.21%"
"May 04","19,545","19,622","20,342","17,601","7.13B","-0.32%"
"Apr 04","19,607","22,142","23,260","19,508","6.51B","-11.45%"
"Mar 04","22,142","21,761","23,373","20,756","7.35B","1.78%"
"Feb 04","21,755","21,842","23,374","20,092","6.29B","-0.44%"
"Jan 04","21,851","22,233","24,518","21,649","8.28B","-1.73%"
"Dec 03","22,236","20,184","22,310","20,184","6.87B","10.17%"
"Nov 03","20,184","17,983","20,188","17,983","6.40B","12.24%"
"Oct 03","17,982","16,010","18,660","16,010","8.46B","12.32%"
"Sep 03","16,011","15,174","17,104","15,075","7.98B","5.51%"
"Aug 03","15,174","13,579","15,252","12,757","6.49B","11.81%"
"Jul 03","13,572","12,967","13,947","12,893","5.06B","4.62%"
"Jun 03","12,973","13,441","14,072","12,895","6.41B","-3.35%"
"May 03","13,422","12,565","13,565","12,542","7.09B","6.89%"
"Apr 03","12,557","11,283","12,820","11,283","7.24B","11.38%"
"Mar 03","11,274","10,263","11,421","10,104","5.27B","9.66%"
"Feb 03","10,281","10,943","11,067","9,968","5.12B","-6.04%"
"Jan 03","10,941","11,291","12,350","10,457","7.17B","-2.91%"
"Dec 02","11,268","10,517","11,648","10,307","6.16B","7.23%"
"Nov 02","10,509","10,172","10,519","9,569","5.41B","3.35%"
"Oct 02","10,168","8,642","10,241","8,225","7.06B","17.92%"
"Sep 02","8,623","10,383","10,477","8,352","5.25B","-16.95%"
"Aug 02","10,382","9,782","10,604","9,017","7.78B","6.35%"
"Jul 02","9,763","11,138","11,173","9,155","6.05B","-12.36%"
"Jun 02","11,139","12,859","12,919","10,247","5.02B","-13.39%"
"May 02","12,861","13,088","13,090","11,943","5.00B","-1.71%"
"Apr 02","13,085","13,253","13,872","13,032","5.05B","-1.28%"
"Mar 02","13,255","14,047","14,495","13,183","5.01B","-5.55%"
"Feb 02","14,033","12,723","14,251","12,415","4.22B","10.31%"
"Jan 02","12,721","13,586","14,413","12,301","5.18B","-6.31%"
"Dec 01","13,578","12,914","13,969","12,809","5.29B","4.99%"
"Nov 01","12,932","11,362","13,791","11,177","5.96B","13.79%"
"Oct 01","11,365","10,633","11,924","9,985","5.00B","6.85%"
"Sep 01","10,636","12,849","12,947","9,533","5.02B","-17.17%"
"Aug 01","12,841","13,757","14,143","12,681","3.93B","-6.64%"
"Jul 01","13,754","14,579","14,771","13,361","3.62B","-5.53%"
"Jun 01","14,560","14,654","15,644","14,164","4.35B","-0.62%"
"May 01","14,650","14,877","15,304","14,056","5.94B","-1.79%"
"Apr 01","14,918","14,441","15,267","13,325","4.65B","3.32%"
"Mar 01","14,438","15,891","16,813","13,761","4.45B","-9.14%"
"Feb 01","15,891","17,670","17,673","15,558","3.44B","-10.08%"
"Jan 01","17,673","15,242","18,023","15,174","6.63B","15.82%"
"Dec 00","15,259","13,303","15,415","13,242","3.94B","14.84%"
"Nov 00","13,287","14,858","15,191","13,287","3.22B","-10.63%"
"Oct 00","14,867","15,950","16,404","13,571","4.69B","-6.66%"
"Sep 00","15,928","17,360","17,716","15,657","4.74B","-8.18%"
"Aug 00","17,347","16,475","17,926","16,073","6.16B","5.42%"
"Jul 00","16,455","16,747","17,795","16,390","4.15B","-1.63%"
"Jun 00","16,728","14,967","17,396","14,967","4.76B","11.84%"
"May 00","14,957","15,596","15,944","13,556","6.27B","-3.74%"
"Apr 00","15,538","17,826","17,826","14,029","11.65B","-12.81%"
"Mar 00","17,820","17,668","19,047","16,922","13.61B","0.91%"
"Feb 00","17,660","16,389","18,886","16,389","12.22B","7.76%"
"Jan 00","16,388","17,098","18,099","15,350","11.01B","-4.12%"
"Dec 99","17,092","13,784","17,105","13,556","13.31B","24.04%"
"Nov 99","13,779","11,701","14,054","11,685","12.61B","17.77%"
"Oct 99","11,700","11,105","11,826","10,796","10.69B","5.35%"
"Sep 99","11,106","10,583","11,735","10,583","13.67B","5.12%"
"Aug 99","10,565","10,441","10,726","9,579","13.34B","1.18%"
"Jul 99","10,442","11,634","11,996","10,345","9.61B","-10.19%"
"Jun 99","11,627","11,090","12,118","10,742","11.81B","4.84%"
"May 99","11,090","11,351","12,589","10,563","11.51B","-2.30%"
"Apr 99","11,351","10,697","11,827","10,676","6.68B","6.12%"
"Mar 99","10,696","8,912","11,101","8,912","8.19B","20.03%"
"Feb 99","8,911","8,187","9,267","8,160","11.53B","9.06%"
"Jan 99","8,171","6,787","8,540","4,797","9.74B","20.45%"
"Dec 98","6,784","8,631","8,738","6,378","141.19B","-21.40%"
"Nov 98","8,631","7,047","9,128","7,047","159.98B","22.48%"
"Oct 98","7,047","6,593","7,630","5,878","181.08B","6.89%"
"Sep 98","6,593","6,472","7,453","4,576","246.80B","1.87%"
"Aug 98","6,472","10,705","10,705","6,454","208.66B","-39.55%"
"Jul 98","10,707","9,680","11,156","9,680","190.24B","10.63%"
"Jun 98","9,678","9,750","10,563","9,062","195.42B","-1.72%"
"May 98","9,847","11,719","11,789","8,971","175.22B","-15.67%"
"Apr 98","11,677","11,947","12,339","11,051","227.73B","-2.26%"
"Mar 98","11,947","10,572","12,112","10,572","193.70B","13.02%"
"Feb 98","10,571","9,913","10,626","9,716","129.46B","8.76%"
"Jan 98","9,720","10,197","10,655","8,441","145.29B","-4.68%"
"Dec 97","10,197","9,395","10,212","8,852","160.59B","8.54%"
"Nov 97","9,395","8,986","10,334","7,522","202.42B","4.55%"
"Oct 97","8,986","11,797","13,037","8,456","214.77B","-23.83%"
"Sep 97","11,797","10,609","12,020","9,921","138.66B","11.20%"
"Aug 97","10,609","12,872","12,872","10,518","137.39B","-17.58%"
"Jul 97","12,872","12,568","14,005","10,765","179.02B","2.42%"
"Jun 97","12,568","11,345","13,223","10,988","234.83B","10.78%"
"May 97","11,345","9,982","11,458","9,982","230.05B","13.65%"
"Apr 97","9,982","9,044","10,000","8,982","214.61B","10.37%"
"Mar 97","9,044","8,829","9,568","8,707","206.07B","2.44%"
"Feb 97","8,829","7,965","9,181","7,963","271.58B","10.85%"
"Jan 97","7,965","7,040","7,992","6,953","226.36B","13.14%"
"Dec 96","7,040","6,666","7,053","6,599","209.69B","5.61%"
"Nov 96","6,666","6,533","6,758","6,479","203.73B","2.03%"
"Oct 96","6,533","6,447","6,852","6,317","225.97B","1.34%"
"Sep 96","6,447","6,259","6,632","6,132","183.50B","3.00%"
"Aug 96","6,259","6,123","6,401","6,016","220.82B","2.22%"
"Jul 96","6,123","6,044","6,713","5,879","320.77B","1.31%"
"Jun 96","6,044","5,728","6,304","5,398","256.55B","5.52%"
"May 96","5,728","5,164","5,764","5,097","250.63B","10.92%"
"Apr 96","5,164","4,955","5,175","4,831","178.55B","4.22%"
"Mar 96","4,955","4,958","5,224","4,596","290.73B","-0.06%"
"Feb 96","4,958","5,152","5,411","4,940","235.54B","-3.76%"
"Jan 96","5,152","4,299","5,172","4,299","290.70B","19.83%"
"Dec 95","4,299","4,379","4,397","3,958","195.90B","-1.82%"
"Nov 95","4,379","4,128","4,391","3,714","198.83B","6.06%"
"Oct 95","4,128","4,670","4,685","3,923","216.34B","-11.60%"
"Sep 95","4,670","4,311","4,885","4,311","240.46B","8.34%"
"Aug 95","4,311","3,878","4,555","3,818","248.60B","11.17%"
"Jul 95","3,878","3,603","4,080","3,574","199.84B","7.61%"
"Jun 95","3,603","3,721","4,067","3,516","248.84B","-3.15%"
"May 95","3,721","3,814","4,185","3,689","234.26B","-2.44%"
"Apr 95","3,814","2,979","3,924","2,867","210.99B","28.02%"
"Mar 95","2,979","3,271","3,495","2,110","242.62B","-8.92%"
"Feb 95","3,271","3,885","4,067","2,762","179.37B","-15.81%"
"Jan 95","3,885","4,354","4,398","3,109","195.74B","-10.77%"